id,lemma,count
1,olema,639802
2,ja,403162
3,see,263713
4,tema,233960
5,mina,180248
6,ei,172779
7,et,171666
8,kui,127728
9,mis,124942
10,ka,100058
11,saama,78156
12,ning,76123
13,oma,66694
14,aga,65519
15,sina,59346
16,pidama,56678
17,siis,54743
18,või,53894
19,kes,52358
20,aasta,51581
21,võima,50455
22,üks,50415
23,nii,50038
24,ise,49413
25,tulema,48966
26,tegema,46715
27,kõik,42259
28,teine,41275
29,ütlema,37848
30,nagu,34789
31,minema,34760
32,kuid,34311
33,inimene,32291
34,aeg,31309
35,teadma,30863
36,veel,29145
37,jääma,28584
38,võtma,28267
39,kas,27977
40,andma,27765
41,välja,26734
42,juba,26581
43,vaid,25135
44,mitte,24396
45,miski,24353
46,hakkama,24224
47,suur,23559
48,mees,23321
49,nägema,23132
50,sest,22509
51,palju,22455
52,kaks,22409
53,tahtma,21398
54,kus,21368
55,uus,21158
56,üle,21030
57,pärast,19557
58,kord,19314
59,mõni,19080
60,esimene,19022
61,sõna,18750
62,ära,18544
63,selline,18467
64,väga,18465
65,rääkima,18419
66,küll,18104
67,enam,18073
68,nüüd,18024
69,töö,17965
70,ainult,17693
71,iga,17634
72,leidma,17489
73,laps,16904
74,vastu,16852
75,asi,16842
76,kasutama,16787
77,vaatama,16510
78,naine,16268
79,panema,16090
80,mingi,15998
81,ju,15650
82,kuidas,15549
83,kõige,15472
84,eest,15295
85,sama,15246
86,tundma,14950
87,hea,14787
88,käsi,14754
89,päev,14562
90,mõtlema,14560
91,viimane,14396
92,keegi,14345
93,ega,14292
94,riik,14100
95,peale,14010
96,arvama,13957
97,juht,13934
98,osa,13915
99,käima,13680
100,elu,13497
101,kohta,13278
102,kogu,13267
103,jõudma,13193
104,erinev,13140
105,siin,12930
106,seal,12909
107,rohkem,12842
108,tooma,12831
109,läbi,12814
110,tagasi,12768
111,näide,12451
112,keel,12442
113,silm,12362
114,just,11972
115,võimalik,11916
116,mitu,11894
117,ette,11673
118,isegi,11649
119,vahel,11479
120,ikka,11452
121,siiski,11418
122,ehk,11302
123,kolm,11273
